,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,entities.hashtags.8.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,,0,0,0,two million four hundred seventy nine thousand five hundred seven,1539195060665
1,IUHomecoming,,,,,,,,,0,0,0,Score IUHomecoming tickets hospitality passes Saturday courtesy Retweet chance win,1539195060664
2,,,,,,,,,,0,0,0,The Great Lakes Superior Michigan Justin Timber Ontario Frosted F,1539195060665
3,,,,,,,,,,0,0,0,please stop buggin Babehh I otw paper,1539195060661
4,,,,,,,,,,0,0,0,Might make quick trip I ve got Feb go Vietnam amp Australia depends I get unpaid time,1539195060663
5,,,,,,,,,,0,0,0,Loving short forgetting long,1539195060657
6,,,,,,,,,,0,0,0,men trash,1539195060659
7,,,,,,,,,,0,0,0,shit almost big mine,1539195060660
8,,,,,,,,,,0,0,0,Ew I want coal ice cream,1539195060663
9,,,,,,,,,,0,0,0,currentutcIt UTC nowSat Feb It UTC,1539195060665
10,,,,,,,,,,0,0,0,Also fundamentally quote counterpart mean particular company ie Reliance ADAG,1539195060661
11,,,,,,,,,,0,0,0,SHINeedeep cuts underrepresented songs One Minute Back In honour Everybody released yrs ago tod,1539195060659
12,,,,,,,,,,0,0,0,PS sure,1539195060666
13,,,,,,,,,,0,0,0,Got way much pride along ride,1539195061666
14,,,,,,,,,,0,0,0,Six refugee displacement situations badly affected major underfunding Burundi Democratic Republic C,1539195061657
15,,,,,,,,,,0,0,0,promise nobody earth would give edibles away kids free,1539195061657
16,,,,,,,,,,0,0,0,lot shit point,1539195061660
17,Michael,,,,,,,,,0,0,0,Hurricane Michael made landfall northwest Mexico Beach Florida The latest public advisory available on,1539195061658
18,,,,,,,,,,0,0,0,We re giving away FREE Gift Certificates towards dinner CIRCOLO newly opened Italia,1539195061662
19,,,,,,,,,,0,0,0,watch video regain energy quickly Best soul cleanse life,1539195061662
20,,,,,,,,,,0,0,0,When u get shower catch look naked,1539195061664
21,,,,,,,,,,0,0,0,test,1539195061660
22,,,,,,,,,,0,0,0,Watch area SPY,1539195061665
23,publiccharge,,,,,,,,,0,0,0,Proposed changes publiccharge chilling effect health coverage harm Texas families health amp,1539195061657
24,,,,,,,,,,0,0,0,African Americans make blocked registration forms Brian Kemp enforcing voter suppression polic,1539195061661
25,refugee,WorldMentalHealthDay,,,,,,,,0,0,0,Former child refugee Oscar speaking WorldMentalHealthDay via Psychosocial help therapy and,1539195061666
26,,,,,,,,,,0,0,0,feel like troy bolton im stressed need go dance,1539195062658
27,,,,,,,,,,0,0,0,classic,1539195062659
28,,,,,,,,,,0,0,0,crush looks cute today seen know,1539195062658
29,,,,,,,,,,0,0,0,fried friend asked exam tomorrow friday said ok walked,1539195062657
30,,,,,,,,,,0,0,0,Good night world,1539195062657
31,,,,,,,,,,0,0,0,It beautiful day Liverpool today Take walk look ask help need,1539195062659
32,,,,,,,,,,0,0,0,get bus always give bus driver slow gentle kiss lasts exactly minute seconds,1539195062665
33,Cowboys,Texans,,,,,,,,0,0,0,Cowboys CB Jourdan Lewis Makes Most Extended Playing Time Vs Texans Written,1539195062663
34,sneaky,hacker,booty,spankchain,instacrypto,instaairdrop,btcnews,altcoins,monero,0,0,0,sneaky hacker gets serious booty spankchain instacrypto instaairdrop btcnews altcoins monero,1539195062664
36,,,,,,,,,,0,0,0,Once im im,1539195063666
37,,,,,,,,,,0,0,0,instert think emoji,1539195063663
38,,,,,,,,,,0,0,0,hey took bongos away phuang IG,1539195063657
