,entities.hashtags.0.text,entities.hashtags.1.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,0,0,0,BIG BOOTY CHUBBY WIFE SUCKS OF BIG COCK IN SHOWER,1539195840666
1,,,0,0,0,Almost every sentence USA Today s Trump oped contained misleading statement falsehood,1539195840659
2,,,0,0,0,Brett Kavanaugh credibly accused attempted rape sexual assault The hyenas apologized confirmed and,1539195840662
3,,,0,0,0,Dropped yet another Prolly done sampling lil bit gon na start making melodies tn,1539195840658
4,,,0,0,0,Happy Birthday bro,1539195840659
6,,,0,0,0,Weapon Choice amp Customization Red Dead Redemption From visual upgrades like new metals woods varnishes engravi,1539195840657
7,,,0,0,0,minute I posted alert homeless students Presz National Baptist Convention of,1539195840665
8,AStarIsBorn,,0,0,0,AStarIsBorn Oscarworthy Beautifully shot amazing music phenomenal acting heartbreaking story,1539195840666
9,,,0,0,0,Wait staff came back men gone Now I talk teenage girl unsafe actually s,1539195840657
10,,,0,0,0,bf really bf need,1539195840660
12,,,0,0,0,Stats week arrived new unfollowers Stats via,1539195840666
13,,,0,0,0,I took look oped It needs work All false misleading words world,1539195840662
14,HR,humanresources,0,0,0,How Programmatic Recruiting Different What We Do Now HR humanresources,1539195840664
15,,,0,0,0,Lecture TRANSFORMATIONAL CHURCH LEADERSHIP A PANACEA TO EFFECTIVE CHURCH GROWTH IN A MULTICULTURED AND PLURALISTIC SOC,1539195841665
16,,,0,0,0,Rollo ready walk,1539195841660
17,,,0,0,0,This leftists agree,1539195841666
18,Blackout,BlackOps,0,0,0,Not Blackout map largest COD history also features BlackOps favorites Nuketown,1539195841665
19,VFSummit,,0,0,0,At VFSummit told Lewinsky reference Nanette genuine attempt extend an,1539195841666
20,,,0,0,0,WEATHER PEOPLE REALLY SCREWED THIS CALL CALLED FOR AND NOW A PRAY AS THEY EMBRACE FOR IMPACT HuricaneMichae,1539195841662
21,,,0,0,0,This person okay,1539195841657
22,,,0,0,0,I AM IN A TOUGH SPOT RIGHT NOW BUT GUESS WHAT GOD IS GOOD EVEN WHEN LIFE ISN T GOD WILL TAKE CARE OF ME I KNOW HE WONT L,1539195841661
23,,,0,0,0,LMFAO,1539195841662
24,,,0,0,0,Already,1539195841660
25,,,0,0,0,Im laughing hard hard right what way end day off,1539195841666
26,,,0,0,0,Here s task Choose domme like amp end show appreciate You never know I m sure there,1539195841658
27,,,0,0,0,Isn falling wedge,1539195841663
28,,,0,0,0,On world mental health day calling employers recognise mental health workplace issue Every employer should,1539195841662
29,,,0,0,0,RBG Plans Serve Supreme Court Until She s Blocking Another Trump Pick Longtime Supreme Court Justice Ruth Bad,1539195842666
30,,,0,0,0,absolutely,1539195842658
31,,,0,0,0,yo dk dam chunky,1539195842666
32,,,0,0,0,Paw Paw legend respected one,1539195842660
