,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,0,0,0,I genuinely scared left become version country want urge,1539196620660
1,,,,,0,0,0,Lil Wayne amp Kendrick Lamar s Mona Lisa Goes No On Different Billboard Charts,1539196620657
3,,,,,0,0,0,We need study brain,1539196620657
4,,,,,0,0,0,Just re vegan nt mean death metal albums dislike meat amp potatoes,1539196620658
5,,,,,0,0,0,Getting shit together matters right,1539196620665
6,,,,,0,0,0,I miss old one I used talk,1539196620663
7,,,,,0,0,0,They re getting paid job day,1539196620661
8,,,,,0,0,0,It s Time see hit Platinum twice THREE times freaking keep season We,1539196620666
9,,,,,0,0,0,I think I m gon na,1539196620664
10,,,,,0,0,0,Well Avenatti old But media pimp,1539196620659
11,UFC229,,,,0,0,0,Who s next LW champ UFC,1539196620661
12,,,,,0,0,0,I lost voice night Neymar played like life depended,1539196620663
13,,,,,0,0,0,That s true,1539196620660
15,UFC230,,,,0,0,0,The matchup amp brewing since July UFC,1539196620663
16,nyweddings,,,,0,0,0,The beautiful shimmering blue offset brilliant round diamonds graceful touch nyweddings,1539196620660
18,twitch,,,,0,0,0,Brawlhalalala Melhalla PS discord giveaway New emotes twitch,1539196621659
20,,,,,0,0,0,I like uga dub Saturday taking bets,1539196621665
21,TakiTaki,,,,0,0,0,TakiTaki official video Watch,1539196621663
22,,,,,0,0,0,Where I post SPAM wipunfinishedweird art shit,1539196621657
23,,,,,0,0,0,MIT Climate Scientist Ordinary people realize phony issue via,1539196621659
24,,,,,0,0,0,I really read different ways,1539196621664
25,,,,,0,0,0,Working really really hard minute The last sessions great Confident I something ready f,1539196621661
26,,,,,0,0,0,The European Union one greatest human achievements A continent war centuries peac,1539196621666
27,HurricaneMichael,,,,0,0,0,A view eye HurricaneMichael currently orbiting Earth,1539196621662
28,,,,,0,0,0,Man stabbed haunted house friend thought knife prop,1539196621662
29,,,,,0,0,0,A tweet appreciate Alp s great acting I m impressed way control voice tone facial expression,1539196621663
30,,,,,0,0,0,Rihanna tells fans You job today properly register vote,1539196621664
31,,,,,0,0,0,would come face,1539196621659
32,,,,,0,0,0,No risk No reward,1539196621665
33,,,,,0,0,0,Today people Las Vegas jails nt enough money get Not be,1539196621664
34,,,,,0,0,0,Having emusing time,1539196622657
35,,,,,0,0,0,IDEA memories instead Snapchat Spotify On day years ago listened I fall apart Post Malon,1539196622659
36,,,,,0,0,0,u ever wish u could make ur ex see much sucked ur perspective lmao,1539196622657
37,,,,,0,0,0,taehyung sat jungkook s legs asked shoulder massage jungkook whipped man i,1539196622663
38,,,,,0,0,0,Maybe nap I m pretty meh ok Why meh,1539196622659
39,,,,,0,0,0,guy like get,1539196622660
40,,,,,0,0,0,makes great dudes back,1539196622663
41,,,,,0,0,0,The next thing I know hours passed new dare I say decent pages front Writer brain weird,1539196622661
43,,,,,0,0,0,Hey remember trump forced drop Romney full name How embarrassing,1539196622660
44,,,,,0,0,0,Unisys global information technology company builds highperformance securitycentric solutions dem,1539196622660
45,ImagineNation2018,blockchain,,,0,0,0,Looking forward ImagineNation come see us ACQHACK Tuesday present proprietary blockchain,1539196622658
46,,,,,0,0,0,The event rearranged You wo nt stop Why afraid truth,1539196622659
48,,,,,0,0,0,maybe born maybe needs go bed reasonable time start living like normal human bein,1539196621657
49,,,,,0,0,0,Check Panda Bear Original Oil Painting His Natural Habitat Signed Near Mint via,1539196622661
50,AOTY,,,,0,0,0,one song He Floating gt AOTY,1539196623658
51,,,,,0,0,0,I Larry Fitzgerald bench sitting rotting away I doubt lack prod,1539196623665
52,,,,,0,0,0,Checked OYO nt room available tomorrow however shift another property,1539196623666
53,,,,,0,0,0,One problems release one public supportive next time nt release th,1539196623657
54,,,,,0,0,0,baby cartoon quite standards,1539196623657
56,,,,,0,0,0,Tremendous loss BPD anyone connection Baltimore Godspeed Sir,1539196623666
57,,,,,0,0,0,I love keeps saying Hurricane Michael jogged bit right Otherwise Panama City would Ob,1539196623660
58,,,,,0,0,0,I interview mental health ambassador Starts minutes i,1539196623661
59,,,,,0,0,0,Boo sends titty pic Me,1539196624659
60,Riverdale,,,,0,0,0,How Cheryl change Serpents Find Riverdale returns TOMORROW c The CW,1539196624660
61,,,,,0,0,0,The bond owner tegu lizard We love two,1539196624660
63,,,,,0,0,0,Can thank God kids saved sex trafficking today Michigan,1539196624659
64,,,,,0,0,0,What percent First charger,1539196624661
65,,,,,0,0,0,They extreme even Sharia Law Sharia says years start date Hij,1539196624662
66,UFC230,,,,0,0,0,NYC MAIN EVENT The HW strap line faces UFC,1539196624664
67,,,,,0,0,0,Best fighting games Mortal Kombat Tekken Dragonball Boudakai Soul Calibur Street Fighter Dead Alive Virtu,1539196624660
69,navratri,Garba,Live,,0,0,0,live navratri Garba Live,1539196624657
70,,,,,0,0,0,rex orange county performed one alicia keys berlin guess new lullaby,1539196624665
72,,,,,0,0,0,These weather people need get storm It s bad get,1539196624665
73,,,,,0,0,0,Here comes Joe Biden signals may run,1539196625661
74,,,,,0,0,0,Republicans trying run smear campaign left painting largely violent group sore losers,1539196625657
76,,,,,0,0,0,I ve struggled write post last bit I m frustrated US healthcare system doesn,1539196625660
77,,,,,0,0,0,In retrospect clear media left attempted gangrape Kavanaugh They sought destroy life hi,1539196625662
78,,,,,0,0,0,People come life season reason lifetime,1539196625661
79,,,,,0,0,0,Meeting ACA Requirements Robust EHR platform,1539196625665
80,,,,,0,0,0,James club Melo fed friends,1539196625658
81,MAGA,Deplorable,HotHillbillyForTrump,Exploit,0,0,0,Well Golly Gee WHAT HERE Not ANOTHER MAGA Deplorable HotHillbillyForTrump Exploit IT,1539196625659
82,,,,,0,0,0,Only sample cases would choose,1539196625664
83,,,,,0,0,0,I Speaker passed Affordable Care Act given millions Americans newfound coverage protected o,1539196625663
85,,,,,0,0,0,Hey studentsstart building future Azure Get credit create Azure free account,1539196625663
86,,,,,0,0,0,Seals dogs sea,1539196625661
87,,,,,0,0,0,ICYMI I appalled toxic masculinity Washington Hunter abused power Instead o,1539196625664
88,,,,,0,0,0,Me trying explain coach FILA make new uniforms,1539196625660
89,,,,,0,0,0,Waking am day looking forward afternoon nap Best feeling,1539196626660
90,,,,,0,0,0,If passion happiness soul beauty person,1539196626658
91,,,,,0,0,0,Congrats luxitooo LumixLeTronk winning UHC Team Kills Thanks playing UHC Region RNA,1539196626661
92,,,,,0,0,0,thanks I m dead,1539196626662
93,,,,,0,0,0,NEWS Peter Smith struck business relationship Mike Flynn would later join Trump campaign a,1539196626659
95,,,,,0,0,0,Ma Daimyo Giveaway Rt Follow chance win Winner announced days Good l,1539196626658
96,,,,,0,0,0,I could hear scream day would music ears,1539196626665
97,,,,,0,0,0,Absolutely Coz Bhai Is Love People Love Him All Around The World,1539196626665
98,,,,,0,0,0,I stan I agree feel bad fault I want him,1539196626659
99,,,,,0,0,0,Liam Neeson walks onto set horse,1539196626663
100,WillGrier,,,,0,0,0,I cast Heisman ballot WillGrier Click player think deserves Heisman House vote,1539196626664
101,,,,,0,0,0,Help win awesome competition,1539196626664
102,,,,,0,0,0,I think meant tweet Mr Corbyn right apologise unreservedly disingenuous mendaciou,1539196626661
103,,,,,0,0,0,THEY DID THAT,1539196626664
104,Halloween,partytime,handmadehour,,0,0,0,For Halloween partytime Victorian gothic inspire necklace perfect handmadehour,1539196626661
105,,,,,0,0,0,thanks follow juan amp great Thursday,1539196627665
106,,,,,0,0,0,Walmart may pass Amazon top online grocer via,1539196627661
108,,,,,0,0,0,Really need something eating exercise,1539196627659
109,,,,,0,0,0,Thanks Carl Hope quiet,1539196627662
110,SPARKSOFHOPE5OON,TeamDaraDavao,,,0,0,0,SPARKSOFHOPEOON TeamDaraDavao SParks Hope V via,1539196627660
111,,,,,0,0,0,Are today date,1539196627665
112,,,,,0,0,0,Only tell vocal chords strained,1539196627659
113,,,,,0,0,0,trying cure sadness sad music,1539196627659
114,AssassinsCreedOdyssey,XboxShare,,,0,0,0,Hey pink unicorn AssassinsCreedOdyssey XboxShare,1539196626662
115,AMAs,,,,0,0,0,Congratulations They Favorite Social Artist presented AMAs red carpet,1539196628664
116,,,,,0,0,0,Everything BTS rise improbable They Korean pop group supposed make it become hig,1539196628663
117,,,,,0,0,0,The solutions gov shutting internet whenever someone sneezes either come alternative governmen,1539196628659
118,,,,,0,0,0,wrote joys watching BTS ARMY,1539196628660
119,,,,,0,0,0,A secret government facility containing humanities worst What happens lights go,1539196628657
120,,,,,0,0,0,guys think gay wear black nail polish eyeshadow rings etc DO YALL KNOW HOW MUCH PUSSY YALL CO,1539196628666
122,,,,,0,0,0,Hey Shinji Did know Freudian slip say one thing mean mother,1539196628663
123,,,,,0,0,0,We chicken work loves attacking I let,1539196628662
124,,,,,0,0,0,Anyone mentions anything monetary value Californians LOL YOU THINK THAT S EXPENSIVE I WISH I WAS PAYING THAT MUCH,1539196628665
125,,,,,0,0,0,Doing best We re stocked ready,1539196629658
126,,,,,0,0,0,I m loving listening Odyssey songs Ca nt wait new album,1539196629659
127,,,,,0,0,0,Keep chasing bag queen,1539196629663
128,,,,,0,0,0,I sorry I bitch follow fucking freak I even follow,1539196629662
129,,,,,0,0,0,Got listen Bob Hoey share career experience IBM Very impressive speaker truly inspiring,1539196629659
130,,,,,0,0,0,Honest work meeting Brit So thoughts Brit I quite confused everything said Brit Yes eve,1539196629665
131,,,,,0,0,0,They realize WHITE TOO,1539196629660
132,,,,,0,0,0,I seen since first came But playing midterms Just look,1539196629661
133,,,,,0,0,0,nothing respect MY supreme,1539196629664
134,,,,,0,0,0,I depressed living best life time I confused,1539196629661
135,,,,,0,0,0,M O T I V E,1539196629658
136,,,,,0,0,0,Its pickled boaby,1539196629661
137,,,,,0,0,0,thats hideous try,1539196629665
138,GOESEast,GOES16,Michael,,0,0,0,Both GOESEast GOES mesosectors centered Hurricane Michael enabling amazing second imagery Category,1539196629657
139,startup,,,,0,0,0,Great seeing today posting interview fantastic startup,1539196629660
140,,,,,0,0,0,Ive said million times He truly prettiest lashes,1539196629661
141,,,,,0,0,0,He actually one,1539196629657
142,politicalbots,,,,0,0,0,R says aomammkn botometer score suggesting could bot bot assisted politicalbots,1539196630664
143,,,,,0,0,0,Just everyone knows I love magnificent group known Illinois State Forensics Team I feel home that,1539196630658
145,,,,,0,0,0,Joon stans sweetest hear talking shit man,1539196630662
146,c4news,,,,0,0,0,Failing grayling cnews,1539196630661
147,,,,,0,0,0,even let knowwwwww,1539196630658
148,,,,,0,0,0,Voter suppression racism,1539196630659
149,,,,,0,0,0,dont understand people write tweets world mental health day know someone struggling bu,1539196630657
150,,,,,0,0,0,Are ready gain big Retweet Retweet fast Follow everyone Retweets Follow back Follow eve,1539196630664
151,,,,,0,0,0,Democrat Bowling Team Captain Sounds Midterm Alarm,1539196629664
152,,,,,0,0,0,San Francisco I arrived I missed,1539196630665
153,,,,,0,0,0,So support assailant right stab people death The victims right defend t,1539196630657
154,,,,,0,0,0,Spicy salmon amp California roll sauce side If nt like spicy let us know please,1539196630664
155,,,,,0,0,0,She s absolutely right The rape accusation husband corroborated witnesses found victim crying,1539196630666
156,AajKiRaat,TheBigBillionDays,,,0,0,0,AajKiRaat TheBigBillionDays Participated This guess hope correct And I win,1539196630665
157,,,,,0,0,0,mini Christ Redeemer looking map mini tower Eiffel a,1539196630659
158,WorldMentalHealthDay,,,,0,0,0,Yep Most us carrying something heavy invisible around WorldMentalHealthDay,1539196630665
159,,,,,0,0,0,I wonder gave someone store number name bother today,1539196631666
160,Airdrop,,,,0,0,0,th Airdrop distributed participants Next airdrop UTC cut ALL tasks hou,1539196631661
161,,,,,0,0,0,RELEASE BLITZ AND GIVEAWAY WILD HEAVEN HILL GENERATIONS SERIES BOOK BY LARAMIE BRISCOE,1539196631660
162,,,,,0,0,0,Luffy s smile contagious,1539196631661
164,GoodLuckBryant,,,,0,0,0,I voted GoodLuckBryant He gave team,1539196631657
165,,,,,0,0,0,Eish Where s edit button,1539196631659
166,,,,,0,0,0,First snow year Village Get jumpstart winter season hit link,1539196631661
167,,,,,0,0,0,Catholics genocide nothing Christianity,1539196631666
169,bts,,,,0,0,0,This level class I wan na reach bts,1539196631660
170,,,,,0,0,0,New artwork sale Ensconced Autumn,1539196631666
171,,,,,0,0,0,myspace pronounced like versace,1539196632660
172,,,,,0,0,0,Giving away Skull Trooper Skull Ranger Outfits To enter Follow Turn Notifications ON Tag Friends amp L,1539196632662
173,,,,,0,0,0,What s The Worst Place To Get Horny,1539196632660
174,,,,,0,0,0,This march route th October This going significant march turn up,1539196632660
175,,,,,0,0,0,Y still blocking girls dude page Lol let man go sis,1539196632658
176,,,,,0,0,0,x g smuggled Royal Mail FTJO x,1539196632663
177,,,,,0,0,0,Sunan AbuDawood Hadith Narrated Abu Hurayrah The Prophet saws said A man follows religion hi,1539196632666
178,,,,,0,0,0,How re many ppl passing O unlock ya knees horrs move around,1539196632661
180,,,,,0,0,0,Anyone got reference The passage Jesus says Verily I say gay kids teachers must thrown sch,1539196632660
181,,,,,0,0,0,scared open thought porn yet opened discovered fact worse,1539196632664
182,AfternoonDriveShow,NP,,,0,0,0,AfternoonDriveShow NP Emeka Amaka Cover,1539196632661
183,scoups,에스쿱스,승철,エスクプス,0,0,0,IDEAL CUT Japan scoups seventeen,1539196632657
184,,,,,0,0,0,Hey guys check YouTube channel jjaygamez Hope enjoy,1539196632666
185,,,,,0,0,0,Top TGIRL Jonelle Brook SMILE,1539196633657
186,,,,,0,0,0,Deer hunters warning,1539196633661
187,,,,,0,0,0,Tomorrow National sex day thing fucking life,1539196633661
188,,,,,0,0,0,Just gon na go destress get well deserved pedicure little girl gets,1539196633659
189,,,,,0,0,0,bad nt plane,1539196633666
190,,,,,0,0,0,RETWEET THIS amp LIKE THIS FOLLOW EVERYONE THAT RETWEETS amp LIKES FOLLOW BACK EVERYONE THAT FOLLOWS YOU TURN ON MY NOTIFICA,1539196633663
191,,,,,0,0,0,Mags News Test mode October AM,1539196633666
192,inktober,,,,0,0,0,inktober day Howl,1539196633660
193,FourLeggedFriends,Cody45,,,0,0,0,Notorious French Fry Thief AKA Potato Chip Identified Security Camera Video FourLeggedFriends Cody,1539196633664
194,,,,,0,0,0,Thank Fortunately t,1539196633665
195,PSAT,,,,0,0,0,venting problems product reviews PSAT,1539196633662
196,,,,,0,0,0,Guy fucks Me,1539196633663
197,,,,,0,0,0,ironstrange au gif,1539196633661
198,,,,,0,0,0,Before end October God change story,1539196633659
199,,,,,0,0,0,STOP SLEEPING ON THIS SCENEEPISODE,1539196633666
200,,,,,0,0,0,Well good thing get say I yet Bc I see working anymore,1539196633666
201,,,,,0,0,0,Got sub button show love chill,1539196633658
202,WorldMentalHealthDay,ENDviolence,BTS_twt,,0,0,0,Powerful words We must support young people WorldMentalHealthDay ENDviolence BTStwt,1539196633665
203,,,,,0,0,0,Addressed mammoth gathering public meeting Karimnagar Telangana I thank people Telangana love an,1539196633660
204,toneden,,,,0,0,0,Just supported Antoine Jerxs s track toneden Check,1539196633663
206,,,,,0,0,0,Awesome photo Lara dog Charlie Judge Jeanine That s exactly name I wa,1539196633661
208,,,,,0,0,0,My head inside condom I breathing fine,1539196634657
209,,,,,0,0,0,The first licensed female hair stylist New York City,1539196634660
210,,,,,0,0,0,what s ve done guy,1539196634664
211,,,,,0,0,0,Retweet this Like this Follow like rt this Follow back follow you Gain followers,1539196634665
212,,,,,0,0,0,I second call They backed actual govt i,1539196634666
213,,,,,0,0,0,Highest poverty level the,1539196634666
214,,,,,0,0,0,The big question might forgive Michael Avenatti,1539196634659
215,,,,,0,0,0,I need nap,1539196634666
216,VoterIDNow,,,,0,0,0,VoterIDNow It NOT OK let noncitizens illegal aliens vot,1539196634662
217,,,,,0,0,0,Vote North Alabama volleyball Player Week,1539196634662
218,,,,,0,0,0,many xXxLordSausakeSepirothxXx tags bout lost PSN,1539196634665
219,,,,,0,0,0,Kurt Russell Is Santa Netflix The Christmas Chronicles Trailer,1539196634664
220,,,,,0,0,0,I screaming even ladybirds moving mad ere,1539196635661
221,,,,,0,0,0,She ll probably come around soon I settle s motion,1539196635657
222,,,,,0,0,0,Three keys recieve total restoration Decide time change Own sins Offer God,1539196635657
223,,,,,0,0,0,But I twat irrelevant Nicki said two one need come plus prosecco cheaper,1539196635658
224,,,,,0,0,0,boyfriend thought cry baby apple fucked emoji,1539196635664
225,,,,,0,0,0,tae sang listen heart beat calls whenever wants to pointing looked jk als,1539196635663
226,,,,,0,0,0,BTS basically told politicians stop using push agendas HUGE DlCK ENERGY,1539196635657
227,,,,,0,0,0,Your opinion stopping bag,1539196635658
228,,,,,0,0,0,I liked video FLOATING MESSAGES After Effects Eminem FALL,1539196635662
229,,,,,0,0,0,guys think gay wear black nail polish eyeshadow rings etc DO YALL KNOW HOW MUCH PUSSY YALL CO,1539196635659
230,harryshumjr,TheMaleTvStar,PCAs,,0,0,0,We vote harryshumjr TheMaleTvStar E People Choice Awards PCAs Make sure tweet,1539196635661
231,,,,,0,0,0,read kindergarteners today SADD Great way spend service learning day,1539196634657
232,AlbumFavoritoPop,LatinAMAs,,,0,0,0,Hey Dj AlbumFavoritoPop LatinAMAs,1539196636665
233,,,,,0,0,0,ZANU PF distances fiscal monetary policies saying consulted says Obert Mpofu live ZB,1539196636663
234,StarWars,,,,0,0,0,I ve resisted using StarWars connections family number chronic medical conditions ve hit,1539196636658
235,,,,,0,0,0,Chrome OS may in solution ve waiting,1539196636662
