,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.10.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,entities.hashtags.8.text,entities.hashtags.9.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
1,Corrie,,,,,,,,,,,0,0,0,OUCH We felt one Steve When people learn nt mess Tracy wedding day Corrie SecretsUn,1539197100657
3,,,,,,,,,,,,0,0,0,get thick pls talk,1539197100665
4,,,,,,,,,,,,0,0,0,oh yeah re traumatic haha,1539197100658
5,,,,,,,,,,,,0,0,0,I wan na get Disney pass,1539197100664
7,,,,,,,,,,,,0,0,0,trying get brother nature notice,1539197100662
8,wednesdaywisdom,,,,,,,,,,,0,0,0,Joe Dorish Sure Signs You Are Dealing Sociopath wednesdaywisdom,1539197100664
10,,,,,,,,,,,,0,0,0,With alarming new UN report climate change country Paris Climate Accord w,1539197100664
11,,,,,,,,,,,,0,0,0,Aight s deal yall,1539197100665
12,,,,,,,,,,,,0,0,0,How social workers assess risk FGM girl,1539197100658
13,,,,,,,,,,,,0,0,0,No get apologize You however apologize Democratic Party used women a,1539197100666
15,elections,Mozambique,,,,,,,,,,0,0,0,Today s local elections day Mozambique I hope vote despite long lines baking sun,1539197100665
16,,,,,,,,,,,,0,0,0,Car found Black River near Elyria,1539197100658
17,,,,,,,,,,,,0,0,0,thoughts MISSING INFINITE ASF,1539197100663
18,experientiallearning,swac,,,,,,,,,,0,0,0,Way go Looks interesting amp engaging And I recognize SWAC students experientiallearning swac,1539197100665
19,,,,,,,,,,,,0,0,0,A Very Happy Birthday today Here s hoping find good mosh pit jump,1539197100657
20,,,,,,,,,,,,0,0,0,If want know attachments creating barrier Allah look often think during,1539197100659
21,,,,,,,,,,,,0,0,0,He needs parts space ship Hes going otter space,1539197100660
22,,,,,,,,,,,,0,0,0,Follow social media stay date next release events news lots cat pics Fa,1539197100657
23,humpday,bywardmarket,,,,,,,,,,0,0,0,Happy humpday join us glass wine pitcher sangria every Weds bywardmarket,1539197100663
24,UFC229,,,,,,,,,,,0,0,0,Derrick Lewis posted Instagram No comment UFC,1539197101657
25,inktober2018,,,,,,,,,,,0,0,0,witch lance inktober,1539197101664
28,,,,,,,,,,,,0,0,0,This cured depression,1539197101657
29,,,,,,,,,,,,0,0,0,Minding business take far life,1539197101664
30,,,,,,,,,,,,0,0,0,The one time Alioski dived floor rolled around fucking Unbelievable,1539197101659
31,,,,,,,,,,,,0,0,0,Bastion s new zombie emote made extra precious undead Ganymede shuffling along,1539197101657
32,,,,,,,,,,,,0,0,0,WHY NO PICK RIGHT FOX FOX ANGRY FOX SMASH,1539197101660
33,,,,,,,,,,,,0,0,0,I seen video said When Han Jisung get band,1539197101666
34,GOP,AmendmentXX,,nullify2016,,,,,,,,0,0,0,cc GOP AmendmentXX nullify,1539197101666
35,,,,,,,,,,,,0,0,0,Jehovah God Holy Holy Holy That means perfect CAN NOT commit bad,1539197101664
36,vegetarian,,,,,,,,,,,0,0,0,If starting vegetarian diet confusing know getting enough protein food variet,1539197101666
37,,,,,,,,,,,,0,0,0,Whitney Wisconsin Pillow Love www naizerian teenage schoolgirls xxx movie mollig solo sex,1539197101660
38,,,,,,,,,,,,0,0,0,Thank You best Xxxx,1539197102665
39,,,,,,,,,,,,0,0,0,Neeraj wish happy birthday,1539197102660
40,,,,,,,,,,,,0,0,0,Biplab Deb I two things common The us push ups neither us clue ru,1539197102659
41,,,,,,,,,,,,0,0,0,Roster Update Rockets GM Daryl Morey today announced team signed free agent guard Brandon Sampson,1539197102658
43,,,,,,,,,,,,0,0,0,randy shippers h people ship randy honestly getting annoying like obviously faked an,1539197102662
44,HurricaneMichael,,,,,,,,,,,0,0,0,HurricaneMichael made landfall northwest Mexico Beach FL minutes ago Our thoughts everyone a,1539197102663
47,,,,,,,,,,,,0,0,0,HOW I CRUSHED NEIL DEGRASSE TYSON S DREAMS via,1539197102660
48,,,,,,,,,,,,0,0,0,please follow Instagram,1539197102660
