,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
1,,,,0,0,0,Thank tonight show strong platform raising awareness homelessness,1539197460663
2,,,,0,0,0,You make lot assumptions I ve referred Trump anywhere yet people seem rattled,1539197460665
3,,,,0,0,0,Idk TFFF I survived hoursday class high school I even handle hours day,1539197460663
4,,,,0,0,0,hopefully work nt blow much today,1539197460660
5,,,,0,0,0,Have ever wondered best players FPL EU Here top seven performers past months ht,1539197460662
6,,,,0,0,0,Netflix renewed Ozark Season,1539197460666
7,,,,0,0,0,Me three Done whis nonsense He part problem,1539197460660
8,,,,0,0,0,Upcoming Match Friday October pm Warrior Stadium,1539197460664
9,,,,0,0,0,Register NOW USD Legacy Entrepreneurship conference,1539197460659
10,,,,0,0,0,Sabr ka phaal meeta hota hain Have faith agar fan ho toh trust,1539197461658
11,,,,0,0,0,It irresponsible print long list lies matter author Thi,1539197461666
12,,,,0,0,0,Happy Birthday Darrah Hope good day lyles spoilt X,1539197461665
13,,,,0,0,0,VAMPIRES SMACKS NECK COME GET YALL JUICE,1539197461661
14,,,,0,0,0,Approx adults US mil experiences serious mental illness given year interferes l,1539197461666
15,,,,0,0,0,like see going sis almost drowned vocals,1539197461661
16,,,,0,0,0,I miss I miss actually president genuinely cared well MondayMotivati,1539197461660
17,,,,0,0,0,And something completely different Come watch try something really new probably fail I playing,1539197461665
18,,,,0,0,0,Kick fundraising reach goal TODAY completing CHALLENGE ask friends family coworkers to,1539197461665
19,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539197461664
20,,,,0,0,0,SHARING IS CARING This little fella found Disneyland Paris today looks like missed Don t,1539197462659
21,,,,0,0,0,NFL tells Giants already knew That penalty Landon Collins,1539197462662
22,,,,0,0,0,Tomorrow National sex day thing fucking life,1539197462666
24,,,,0,0,0,Still thinking perfect outfit looked truly beret King,1539197462658
25,,,,0,0,0,We New York,1539197462660
26,,,,0,0,0,inclusive trips Santorini Groupon wonder popular,1539197462663
27,,,,0,0,0,I need work hurry I got shit I tryna accomplish I get,1539197462664
28,,,,0,0,0,Plans mass slaughter sheep midtransit discussed Whitehall officials ports closed in,1539197462666
29,,,,0,0,0,everybody insured afford official mental health care whole issue whatever do,1539197462657
31,,,,0,0,0,You fool vampires scary Me enlightened vampires hot,1539197462663
32,,,,0,0,0,Outspoken child advocate Rick Moranis shrinks kids,1539197462657
33,,,,0,0,0,Tried Does nt connect Tried amount says invalid My pack also How I rech,1539197461660
34,,,,0,0,0,British twitter see American microwaving water tea,1539197462663
35,,,,0,0,0,ANOTHER WAY TO MY HEA IS RATATOUILLE,1539197462664
36,,,,0,0,0,If I nt get free gems guarantee scout stepup event imma riot,1539197462665
38,,,,0,0,0,Gain fresh perspective issues shaping world subscription The Economist Get weeks access today,1539197463661
39,,,,0,0,0,If things gets much could always reach friend relative It s okay feel whatever re feeling i,1539197463665
40,HurricaneMichael,HuracánMichael,,0,0,0,Oh HurricaneMichael looks vicious HuracnMichael,1539197463663
41,WorldMentalHealthDay,QPR,,0,0,0,Don alone This WorldMentalHealthDay Courtnay WardChambers reveals football QPR helped ov,1539197463657
42,,,,0,0,0,Do nt know start using law attraction Start manifest anything want free eBook,1539197463658
44,,,,0,0,0,If Democrats capable trying destroy good man like Kavanaugh makes think try do,1539197462665
45,,,,0,0,0,If anybody ever wants get Canela tattooed I recommend use image It really good lol,1539197464663
46,,,,0,0,0,heres drawing took bit time sure dealing real life shit commisisons pretty,1539197464657
47,TuaTagovailoa,,,0,0,0,I I cast Heisman ballot TuaTagovailoa Click player think deserves Heisman House vote,1539197464659
49,,,,0,0,0,Shameless attention whore focused selfpromotion,1539197464658
50,BTSinLondon,BtsLoveYourselfTour,,0,0,0,Tae shoulders made broad specifically hyung arms BTSinLondon BtsLoveYourselfTour,1539197464657
51,,,,0,0,0,Natalie Portman Miss Dior,1539197464661
53,,,,0,0,0,You right ha,1539197464663
54,Corrie,,,0,0,0,Like Abi take moral high ground kissed Steve behind Tracy back Corrie,1539197462665
55,,,,0,0,0,alright stepped sat pushed side SAYING EXCUSE ME TAKES TOO MUCH ENERG,1539197464665
56,,,,0,0,0,It s OK ok There shame comes mental health Be If feel y,1539197464657
57,,,,0,0,0,Please fix power issue Mugumo Estate There power outage since Oct th pm Account No,1539197465666
59,,,,0,0,0,What would add list ways manage nerves whilst presenting It s stuff the,1539197465663
60,,,,0,0,0,It s three words Everyone proud say Are ok Not today year round,1539197465661
61,,,,0,0,0,AMAZING Greek Food Tour Top Things To Do Athens Greece via,1539197465663
62,,,,0,0,0,people followed automatically checked,1539197465662
63,,,,0,0,0,If see nigga wearing Ecko already know good,1539197465659
64,,,,0,0,0,Getting mad hair different type mad,1539197465660
65,,,,0,0,0,Have lot put hedge long,1539197465663
66,,,,0,0,0,Follower Unfollowers I nt know I awesome Get daily stats via,1539197465661
67,,,,0,0,0,Here talk need xxx,1539197465657
68,,,,0,0,0,I m going Hillberry Festival Eureka Springs AR Oct,1539197465660
69,BTS,BTSLoveYourselfTour,BTSTickets,0,0,0,I m looking BTS LYS tour GA ticket London plz DM BTS BTSLoveYourselfTour BTSTickets,1539197465662
71,,,,0,0,0,Y ever argue FaceTime whose WiFi worse lol,1539197465660
72,,,,0,0,0,I nightmares I equally terrified end academic email Love push send without ca,1539197465660
73,,,,0,0,0,The first rule Daily Bukowski Quotes nt get caught middle feud two Daily Bukowski Quot,1539197465662
74,,,,0,0,0,break neck communicate w nobody nomore talk,1539197465658
75,,,,0,0,0,Nope lol makes uncomfortable actually,1539197465661
77,,,,0,0,0,Bitch nt learn,1539197466661
78,,,,0,0,0,Is emotionally amp challenging year,1539197466659
79,,,,0,0,0,Is pizza sandwich,1539197466659
80,,,,0,0,0,taehyung sat jungkook s legs turned around face jungkook offered hand handshake ta,1539197466660
81,,,,0,0,0,Things You Can Do To Inconvenience Yourself While Multinational Companies Destroy Your Children Future Profit htt,1539197466662
82,,,,0,0,0,I running get wine blunt sit front tv,1539197466661
83,MONSTA_X_WORLDTOUR_IN_JAPAN,,,0,0,0,Japan Tour PREVIEW TRESPASS part HD amp Fulllength Youtube later MONSTAXWORLDTOURINJAPAN,1539197466666
84,,,,0,0,0,SPECIAL I giving randomly Taehyung s XL Posters Taehyung s LY Tour Poster Taehyung s Photo Book vid,1539197466665
85,,,,0,0,0,lmfaoooo facts moon aries I feel,1539197466664
88,,,,0,0,0,Breaking Jon Jones vs Alexander Gustafsson set UFC Dec Las Vegas More,1539197466666
89,,,,0,0,0,The reason inviting Visit Uganda know BTS never Africa yet Uganda mo,1539197466660
90,,,,0,0,0,There thing college pretty similar,1539197466659
