,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,0,0,0,Renegade nt noob,1539197820664
1,,,,,,,,0,0,0,Get free stocks,1539197820659
2,NoTimetoSleep,,,,,,,0,0,0,Powerful stuff And brilliant NoTimetoSleep,1539197820661
3,,,,,,,,0,0,0,This refers Saudi Arabia s alleged involvement murder Saudi journalist Jamal Khashoggi,1539197820657
4,,,,,,,,0,0,0,COMMITTED TO THE G,1539197820664
5,,,,,,,,0,0,0,Same No coins mc wallet,1539197820666
6,,,,,,,,0,0,0,Running Alpha Bae Lambda Chi Alpha meet Gustaf Retweet help win philanthropy,1539197820662
7,,,,,,,,0,0,0,For thought nd nomination bad seen nothing yet Soros elevator screamers amp,1539197820658
8,,,,,,,,0,0,0,pls stay safe everyone,1539197820661
10,,,,,,,,0,0,0,South Korea esports network OGN invest least million North America plans big partnership battle roy,1539197820659
11,,,,,,,,0,0,0,I man wat,1539197820658
12,,,,,,,,0,0,0,Not really Do know every person including children born today already ow,1539197820662
13,,,,,,,,0,0,0,I need people Venmo,1539197820658
14,,,,,,,,0,0,0,Chill bro Its cool u roast whoevr u want take things lighly n stop stressi,1539197820666
15,,,,,,,,0,0,0,Sponsored Tweet This fall check CBS s exciting Thursday night lineup YOUNG SHELDON INANIMATE OBJECT SHELDON C,1539197821662
16,,,,,,,,0,0,0,Elaine You d really like him Jerry Why people always say I hate everyone would I like,1539197821666
17,,,,,,,,0,0,0,Bro I listen gunna day,1539197821660
18,,,,,,,,0,0,0,Do love video Evelyn Sommer Then re sure love many Playboy Plus Join,1539197821661
19,,,,,,,,0,0,0,Can thank God kids saved sex trafficking today Michigan,1539197821662
20,,,,,,,,0,0,0,Lmfao son asked yesterday get alexis talking bout damn Alexa,1539197821662
21,,,,,,,,0,0,0,wait noticed mouthed army love riding finger heart m sad,1539197821666
22,,,,,,,,0,0,0,Come junction speak London Met Counselling team find university support mental,1539197821657
23,FREEtweet,,,,,,,0,0,0,Who could use free calzone simply cuz love calzones FREEtweet,1539197821661
24,,,,,,,,0,0,0,HELP One Sabahan ARMY passed away She diagnosed brain bleeding coma Our TATA really hel,1539197821658
25,,,,,,,,0,0,0,gon na rock baby,1539197821666
26,,,,,,,,0,0,0,DO NOT MISS IT VVS DIAMOND RING ROUND CUT LADY REAL CT K ROSE GOLD RED SIZE UberBuyer Offers,1539197821658
27,,,,,,,,0,0,0,Thought Day You warned traitors,1539197821657
28,,,,,,,,0,0,0,Ifb active influencers Promoters plsbad health,1539197821666
29,,,,,,,,0,0,0,Ya s kind always plan right Good trading friend,1539197821666
30,,,,,,,,0,0,0,Boutta fly hours get,1539197821661
32,,,,,,,,0,0,0,Without feminism even able vote weird flex ok,1539197821657
33,,,,,,,,0,0,0,hey s guy making weed gummies passing kids halloween And honestly thanking,1539197822664
34,,,,,,,,0,0,0,love hate interchangeable choice side take,1539197822661
35,,,,,,,,0,0,0,I admit I thirst followed awhile back lol,1539197822660
36,,,,,,,,0,0,0,first hours campaign,1539197822661
37,,,,,,,,0,0,0,Gain Nigerian followers Retweet Follow follow back NB Participate Follow back Let,1539197822664
38,,,,,,,,0,0,0,You re completely right That s I get reading carefully,1539197822663
39,,,,,,,,0,0,0,What great Gio teacher knows well Faye dance yet afraid challenge,1539197822663
40,,,,,,,,0,0,0,Fuck And fuck haters mamas Make baby lmao OFAS XOXO,1539197822664
41,,,,,,,,0,0,0,Haunted dead mistress Tangwystyl love young wife Joanna illegitimate daughte,1539197821657
42,,,,,,,,0,0,0,Can yank Abrams air She top hysterical sounds like already,1539197822665
44,NowPlaying,,,,,,,0,0,0,NowPlaying Spang Sisters Hebrides Memories,1539197822662
45,,,,,,,,0,0,0,Socialism becoming cool America nice name democratic socialism But says Amer,1539197822661
46,,,,,,,,0,0,0,Evan Peters ICON Magazine,1539197823664
47,TheBigBillionDays,,,,,,,0,0,0,TheBigBillionDays I excited place order amazing deals,1539197823658
48,,,,,,,,0,0,0,BTS hip thrust expose abs touch concert Their families watching,1539197823661
49,,,,,,,,0,0,0,uHhHh bap rapline yes kill gently lte rap deep rap attractive clothing fuck,1539197823661
50,,,,,,,,0,0,0,fuck wan na cuddle w dog,1539197823658
51,,,,,,,,0,0,0,Now listening Bill Evans Trio I Fall In Love Too Easily Take,1539197823666
52,,,,,,,,0,0,0,I wan na ruin life differently I got new ideas,1539197823666
53,,,,,,,,0,0,0,earthquake minutes ago sumbawa East Java warning tsunami fELT AT beachfront residence in,1539197823663
54,,,,,,,,0,0,0,What I found disturbing portion article racial bias among early edu,1539197823666
55,,,,,,,,0,0,0,When banks closed even that shit hit,1539197823664
56,,,,,,,,0,0,0,It s like I always say fuck,1539197823661
57,,,,,,,,0,0,0,FINALLY WHAT WE DESERVE,1539197823660
59,,,,,,,,0,0,0,Please President Trump shed light fiance disappearance,1539197823659
60,CareersFair,,,,,,,0,0,0,A photos setup CareersFair full swing We show everything paedi,1539197823665
63,,,,,,,,0,0,0,Mueller gets longest sentence yet man helped Russian trolls POLITICO,1539197824658
64,Florida,,,,,,,0,0,0,Emotional support squirrel owner flips bird kicked Frontier flight Florida,1539197824662
65,,,,,,,,0,0,0,A remarkable day parliament MPs parties find necessary urge government safeguard foods,1539197824657
66,,,,,,,,0,0,0,used pic normani purpose one convince otherwise,1539197824665
67,ALDUB169thWeeksary,,,,,,,0,0,0,Happy weeksary beautiful people ALDUBthWeeksary,1539197824666
68,,,,,,,,0,0,0,refs make everything much easier haha soft boys new unoform,1539197824660
69,,,,,,,,0,0,0,Chris Evans wife Natasha beam cradle newborn twins taking work,1539197824658
70,,,,,,,,0,0,0,I need find golf course ASAP Been way long,1539197824658
71,download,These,Noggas,,,,,0,0,0,download These Noggas TreeDogg Mr Atm ft Dj Smiley,1539197824661
72,,,,,,,,0,0,0,This Beans Even Stevens feel old yet,1539197824658
73,TreCru,,,,,,,0,0,0,Found Transponder Snail Killer rabbits Amazing fauna one winter isle TreCru,1539197824657
74,Apostle,Netflix,Terror,Horror,GarethEvans,Chiller,BoneChiller,0,0,0,Apostle Are You Ready For It On Netflix Apostle Netflix Terror Horror GarethEvans Chiller BoneChiller Fol,1539197824657
75,,,,,,,,0,0,0,Damn metro shitty,1539197825661
76,,,,,,,,0,0,0,This HAUNTED Hotel Has A TERRIFYING Secret Following people,1539197825660
77,,,,,,,,0,0,0,Oh shit I gay,1539197825663
78,,,,,,,,0,0,0,thankful people life kindness patience shown mental health hiccups ha,1539197825662
79,,,,,,,,0,0,0,You rewarded years loyalty MetLife Auto amp Home values loyalty amp like have,1539197825666
80,,,,,,,,0,0,0,I wonder clip look grandchildren,1539197825666
81,,,,,,,,0,0,0,Come pick please,1539197825657
82,,,,,,,,0,0,0,It nt even hours yet I already post concert depression last night I think I made eye contact with,1539197825660
83,,,,,,,,0,0,0,Hiii I selling BTS stickers fanart queue concert Amsterdam Octuber,1539197825658
85,,,,,,,,0,0,0,Y propaganda end abortion nothing help prenatal care anything baby born h,1539197825665
86,,,,,,,,0,0,0,Those tried buy dip morning deep red Said premium killing time No reason t,1539197825658
87,,,,,,,,0,0,0,believe man fixed racism,1539197825660
88,,,,,,,,0,0,0,tribe I Navajo headdresses amp dream catcher ojibwe whole post mess amp perf,1539197825659
89,,,,,,,,0,0,0,The EFF always called removal Ministers enablers state capture Nhlanhl,1539197826658
91,,,,,,,,0,0,0,Ask re today getting closer want tomorrow If ok lif,1539197826666
93,,,,,,,,0,0,0,yoongi seokjin many lesbian fans yoongi lesbians lady gaga gay men seokjin les,1539197826657
94,,,,,,,,0,0,0,ever noticed ppl would rather stop speaking u instead apologizing wrong haha ho,1539197826664
96,,,,,,,,0,0,0,cop short term memory loss u know pulled,1539197821658
97,,,,,,,,0,0,0,Lashes me Book me,1539197826664
98,,,,,,,,0,0,0,Time bake cake No brains necessary Happy birthday,1539197826662
100,,,,,,,,0,0,0,Late GOP Activist Peter W Smith Met With Former Trump Adviser Michael Flynn Sources Say WSJ,1539197827658
101,,,,,,,,0,0,0,The brilliance You favorite new series fall comes relentlessly grounds viewer in,1539197827660
102,,,,,,,,0,0,0,If let white man beat even talk,1539197827666
103,,,,,,,,0,0,0,hyuna edawn fuckin IT UP IN THE STREETS OF SEOUL I LOVE THEM,1539197827659
104,,,,,,,,0,0,0,Shadow Daggers Boreal Forest Giveaway Follow Tag Friends Be in,1539197827661
106,,,,,,,,0,0,0,Let s forget appearance BA THE MURDERER Bart Simpson inseries TV movie Blood the,1539197827663
107,,,,,,,,0,0,0,Jimmy passing KAT practice,1539197827659
108,,,,,,,,0,0,0,Ive never tried one Ive done like masks stuff buy people say works pero sient,1539197827663
109,,,,,,,,0,0,0,Jet Fuel makes percent demand percent car trucks,1539197827663
110,,,,,,,,0,0,0,He sitting I glad taking care,1539197827663
111,,,,,,,,0,0,0,going twitter split second finish psat partake memes,1539197827664
113,,,,,,,,0,0,0,I ll send sticker company good review,1539197827658
114,,,,,,,,0,0,0,American tradition Halloween pumpkin carving French friends,1539197827662
115,,,,,,,,0,0,0,sum cute ass yeehaw shit cant lie,1539197827658
116,BTS,한글,,,,,,0,0,0,BTS honoured South Korean government promoting Korean language worldwide,1539197827663
117,intrevwetrust,,,,,,,0,0,0,Thanks big Trev intrevwetrust,1539197827662
119,,,,,,,,0,0,0,Mo Johnston oni kiddin oni fkn kiddin OH YA get aff Ouch fuck battering continues,1539197828662
121,,,,,,,,0,0,0,retweets followers Retweet Now Retweet Fast Follow Retweets make sure follow back NB rep,1539197828658
122,,,,,,,,0,0,0,SAAC Meeting FRIDAY The executive council updates new ideas Some decisions need made o,1539197828663
