,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,0,0,0,Just rest month lmao I tired,1539201120659
1,,,,,,,,,0,0,0,Jaesix Season Bernard ft Luna f x QNA drop hours,1539201120666
2,HurricaneMichael,,,,,,,,0,0,0,Trees snatched roots Panama City FL All friends family please safe HurricaneMichael,1539201120659
3,,,,,,,,,0,0,0,Want skin bad,1539201120664
4,,,,,,,,,0,0,0,Gyal Man dog Meanwhile bed,1539201120663
5,,,,,,,,,0,0,0,Fortnite Account IN MD skins Op To Win Follow,1539201120664
6,,,,,,,,,0,0,0,Live Gay Sex Streaming Gay Video Gay Movies Gay Videos Demand Gay Pay Per Minute Live Gay Chat CHECK OUT htt,1539201120658
7,,,,,,,,,0,0,0,one minute I find okay starts hitting amp I start realizing I okay at,1539201120666
8,,,,,,,,,0,0,0,Practice like s competition compete like s another day practice court Karch Kiraly,1539201120661
9,,,,,,,,,0,0,0,rt decide let based ONLY layout matching nothing personal layout,1539201120657
10,,,,,,,,,0,0,0,BTS charted two weeks BB wings even bbma appearance peaked th k sales no,1539201120659
11,,,,,,,,,0,0,0,One day gon na discuss men capitalized women believing stupid Don get wrong defin,1539201120665
13,,,,,,,,,0,0,0,A great way socialise keep fit The Antigua Cavaliers Cricket Club looking new members Dm us if,1539201120663
14,,,,,,,,,0,0,0,I still stand statement,1539201120661
15,,,,,,,,,0,0,0,I fcking sick tired making seem anything Y shade norma,1539201120657
16,,,,,,,,,0,0,0,anyone else tweeting darkened bedroom whilst berated angry toddler mispronouncing words kicking,1539201121657
17,,,,,,,,,0,0,0,Q How much want ball A Bad,1539201121663
18,,,,,,,,,0,0,0,You look cute hot,1539201121666
19,,,,,,,,,0,0,0,embrace void courage exist proceeds go fight y,1539201121663
20,,,,,,,,,0,0,0,The constant lies rallies disgusting The litany hate disgusting But really revolting w,1539201121662
21,,,,,,,,,0,0,0,I promise Alyssa guy wants make excuses I know fact I anyth,1539201121660
24,,,,,,,,,0,0,0,Our favorite performances Battle Runway show included,1539201121658
25,,,,,,,,,0,0,0,Whoever said Disney World happiest place earth clearly never,1539201122658
26,,,,,,,,,0,0,0,All STDs MK body rn,1539201122662
27,,,,,,,,,0,0,0,I took look oped It needs work All false misleading words world,1539201122658
28,,,,,,,,,0,0,0,When homie girl arguing hear YOU DIDNT SAY THAT WHEN I SUCKED YO DICK FROM THE BACK,1539201122663
29,,,,,,,,,0,0,0,Anyone Naples Has winter set Hoping weather stays s til end October Need warm possibl,1539201122665
30,,,,,,,,,0,0,0,s dumbest idea ve today,1539201122666
31,,,,,,,,,0,0,0,ONLY DAYS LEFT TO VOTE Earpers please RETWEET every single tweet TWEET much possibly Let make the,1539201122662
32,,,,,,,,,0,0,0,Scared new report climate change Here s help Organize workplaces communities Work,1539201122661
33,,,,,,,,,0,0,0,Just confirming Jungkook sitting today He introduced said ARMYs fun tonig,1539201122666
34,,,,,,,,,0,0,0,BOOM Peter Smith emergin bigger bigger piece collusion puzzle If Bob Mueller cooperation,1539201122659
35,staystrong,aufklärung,CBD,oxycodon,patients,day,zeit,cells,0,0,0,Andy und MS P minutedemo staystrong aufklrung CBD oxycodon patients day zeit cells,1539201123657
