,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,0,0,0,want say whatever happens Saturday behind boys need get bucks head boun,1539203340660
1,,,,,,,0,0,0,bringing back sleepy head hyunjin looking adorable lt,1539203340659
2,,,,,,,0,0,0,Kemp office cancelled m voter registrations since Nearly k registrations cancelled alone,1539203340665
3,theapprentice,,,,,,0,0,0,This cool earth real trend oh god cringeeee theapprentice,1539203340660
6,,,,,,,0,0,0,got jackolantern idea,1539203340663
7,,,,,,,0,0,0,Okay made super hype,1539203340660
8,AMAs,NCT127_Regular_Eng,NCT127_Regular_Irregular,NCT127,NCT,,0,0,0,The red carpet AMAs NCTRegularEng NCTRegularIrregular NCT NCT,1539203340665
9,,,,,,,0,0,0,These hateful people CNN called Kanye West Dumb Negro Token Negro He said Supporting Trump happe,1539203340660
10,,,,,,,0,0,0,Deepika s video experience depression getting coverage many global outlets Using popularity,1539203340657
11,,,,,,,0,0,0,YOOOOOO WTF My dad supposed leave Panama City today luckily caught Jacksonville flight yesterday Ma,1539203340661
12,,,,,,,0,0,0,WHAT THE FUCK IS UP WITH INSTA STANS KAKSKKS THEY ARE WILDIN,1539203340665
13,,,,,,,0,0,0,Want signed copy,1539203340666
14,,,,,,,0,0,0,You know I em,1539203340661
15,,,,,,,0,0,0,The food entered room little tray hole,1539203340665
16,,,,,,,0,0,0,Breakfast conference organised discusses mental health el,1539203340664
17,PSAT,,,,,,0,0,0,PSAT thank y Sylheti mom,1539203340659
18,KeepLifeFlowing,WTD18,,,,,0,0,0,Fantastic see A superb awards ceremony vital medical condition KeepLifeFlowing WTD,1539203340659
19,,,,,,,0,0,0,Mic Drop M Blood Sweat amp Tears M DNA M Fake Love M Dope M I Need U M,1539203340666
20,TheApprentice,,,,,,0,0,0,Smart kids Always remember cape Even re ignoring pants TheApprentice,1539203340661
21,,,,,,,0,0,0,Reminiscing bout dirt I evolved,1539203341664
22,,,,,,,0,0,0,That mental health you,1539203341657
23,,,,,,,0,0,0,I REALLY DONT THINK SO NA,1539203341665
24,FoxNews,,,,,,0,0,0,Lady Gaga Serena Williams Harry Styles host campthemed Met Gala FoxNews,1539203341664
26,,,,,,,0,0,0,ex boyfriend lives Berlin I hope I see new girlfriend,1539203341665
27,,,,,,,0,0,0,I wanted acknowledge commercial existed Would say cursed blessed,1539203341657
28,,,,,,,0,0,0,I never changed I learned,1539203341660
29,SUPERJUNIOR,OneMoreTime,OtraVez,슈퍼주니어,OneMoreTimeSJ,LabelSJ,0,0,0,SUPERJUNIOR X OneMoreTime OtraVez MV Making Film OneMoreTimeSJ LabelSJ,1539203341663
30,,,,,,,0,0,0,u feel kulaha ai nt gay,1539203341662
31,,,,,,,0,0,0,feel im laying high fuck listening good ass music,1539203341664
32,,,,,,,0,0,0,That looks amazing,1539203341663
33,,,,,,,0,0,0,YOU DONT HAVE TO BE GAY TO RESPECT GAY PPL YOU DONT HAVE TO BE TRANS TO RESPECT TRANS PPL YOU DONT HAVE TO BE A POC TO RE,1539203341660
34,,,,,,,0,0,0,I Anita Baker,1539203341661
35,,,,,,,0,0,0,never gave difference amp,1539203341663
36,,,,,,,0,0,0,Along everything else protests anger Kavanaugh confirmation battle also produced worst j,1539203341660
37,,,,,,,0,0,0,kids gon na like,1539203341657
38,,,,,,,0,0,0,never gave difference amp,1539203341663
40,,,,,,,0,0,0,teacher pay atttention really important brain,1539203342659
41,,,,,,,0,0,0,Me enjoying October heat lowkey fearing global warming issue,1539203342661
42,,,,,,,0,0,0,Can Stop Online Shopping,1539203342659
43,,,,,,,0,0,0,Just warm heart cold world,1539203342665
44,,,,,,,0,0,0,three days Careeming got second female captain today owner car teaches school dri,1539203342659
45,,,,,,,0,0,0,The accepting applications Pitch Dingman Competition Apply Octob,1539203342666
46,,,,,,,0,0,0,Bbc Waspi protesting parliament square Shame covering campaign,1539203342662
47,,,,,,,0,0,0,Was bought Yes vote Kavanaugh A defense bill Maine shipyard upgrades worth mi,1539203342663
48,ROHLL5,,,,,,0,0,0,Let MAGA amp get word ROHLL,1539203342662
49,,,,,,,0,0,0,Rt ur boyfriend ur best friend,1539203342657
50,,,,,,,0,0,0,I liked video Nipsey Hussle Double Up Ft Belly amp Dom Kennedy Official Music Video,1539203342659
51,,,,,,,0,0,0,Like Liza need money visa,1539203342665
52,,,,,,,0,0,0,Sibling I pay back,1539203342665
53,,,,,,,0,0,0,Kevin Gates x Me Too,1539203342657
54,,,,,,,0,0,0,Happy Birthday We love LOTS Thank sharing music us Have beautiful da,1539203342657
55,,,,,,,0,0,0,Got liquor weed shid I straight lmao,1539203343663
56,,,,,,,0,0,0,yall betta enjoy funny tweets cause worldmentalhealth day tweets finna sad fuck minute,1539203343665
57,,,,,,,0,0,0,Proud brother expressing true self spreading love podcast Y go check,1539203343659
58,,,,,,,0,0,0,song title feel abt u,1539203343664
59,,,,,,,0,0,0,Ready set purrrr,1539203343665
61,,,,,,,0,0,0,Know feeling My room right next front door,1539203343659
62,AMAs,,,,,,0,0,0,The AMAs had decrease viewers year compared viewership They went M last year M,1539203343659
63,,,,,,,0,0,0,video holding back believing real animated character,1539203343664
64,,,,,,,0,0,0,NB Greens say deal Liberals Tories legislature resumes Oct BayToday,1539203343663
65,,,,,,,0,0,0,DoD FEMA government agencies nongovernment agencies ready go already started act,1539203343658
66,,,,,,,0,0,0,When I VC I thought students difficult deal But INEC I found politicians Nig,1539203343657
67,,,,,,,0,0,0,No wonder Pelosi considers tax cuts crumbs This house San Francisco Is th,1539203343666
68,,,,,,,0,0,0,Many people fighting battles even see That mean weak damaged,1539203343660
69,mindfulness,mentalhealth,,,,,0,0,0,Midweek mindfulness mentalhealth,1539203343661
70,,,,,,,0,0,0,Having tough time deciding couple RB prospects next couple weeks Conner bye week Sp,1539203343661
71,,,,,,,0,0,0,REPOER Have read alarming UN report imminent drastic climate change TRUMP It given amp I want t,1539203343661
73,AMbattleground,,,,,,0,0,0,Tanko n danlamiwtf conversation AMbattleground,1539203343659
76,,,,,,,0,0,0,If respect respect disrespect even respect let actions others affect your,1539203343663
77,TheApprentice2018,,,,,,0,0,0,Watching like TheApprentice,1539203343663
78,psat,,,,,,0,0,0,psat When none answers grammar section make sense,1539203343665
79,,,,,,,0,0,0,I missed baby bot,1539203342665
80,,,,,,,0,0,0,My husband made surprise Singularity video wedding I crying dyinggg btsa,1539203344663
81,,,,,,,0,0,0,Does make body tingly I think I could handle lmfaooo,1539203344665
82,,,,,,,0,0,0,Younger officially GOLD Australia This Ruel first song achieve CONGRATS PROUD IS AN UNDERSTATEMENT,1539203344663
83,,,,,,,0,0,0,Vietnam Veteran Killed In Action Being Honored In Cranston,1539203344664
84,,,,,,,0,0,0,I want win tickets You,1539203344661
85,RailBlue,,,,,,0,0,0,Sir Francis Drake brutalist Stafford May RailBlue livery sporting larger British Rail symbol p,1539203344658
87,,,,,,,0,0,0,They look good,1539203344662
88,,,,,,,0,0,0,Butler Screams Swears At Wolves GM In st Practice Back Report,1539203344661
89,,,,,,,0,0,0,BOY II NEED A JOB,1539203344665
90,,,,,,,0,0,0,Honest god woman gets better better What artist,1539203344665
92,,,,,,,0,0,0,gon na happen one day know,1539203344663
93,,,,,,,0,0,0,Ahora emitiendo Billy Idol Dancing With Myselfmp,1539203345664
94,,,,,,,0,0,0,MyFun Marie Curie Outreach Activity IOSA Student Chapter Royal Botanical Garden,1539203345665
95,alcoholawareness,,,,,,0,0,0,alcoholawareness Ireland making waves around World taking action Alcohol harm society,1539203345659
96,,,,,,,0,0,0,lana rapper boyfriends pulling azealia bed bath apartment,1539203345661
97,Iman,,,,,,0,0,0,Whoever becomes accustomed opposing Islamic legislation opinion Iman never remains stable heart,1539203345664
98,,,,,,,0,0,0,said The Jump took TWolves rd stringers best st stringers PAY OR TRADE JIM,1539203345661
99,,,,,,,0,0,0,Underwater Archaeologists May Have Discovered Oldest Shipwreck Lake Erie,1539203345658
100,,,,,,,0,0,0,Make sure pick copy today front page Thank much Courier interest i,1539203345657
101,,,,,,,0,0,0,absolutely looks cutest sound laugh gentle im crying,1539203344659
102,,,,,,,0,0,0,Hundreds people use shortcut route reach office EPIP zone Whitefield It s disgusting se,1539203344664
103,,,,,,,0,0,0,Vice Principal Of NJ High School Killed By Car Drag Racing PM,1539203345661
104,,,,,,,0,0,0,Police construction workers helped woman sexual assault,1539203345660
105,,,,,,,0,0,0,Watches discord glitch amp send para message delete instead letting resend,1539203341662
106,,,,,,,0,0,0,Film Fat Kid Rules World A seemingly first draft script severely developed characters hi,1539203345666
107,,,,,,,0,0,0,Registration Winter sports begins today Friday Oct YHS Athletics website Do nt procrastinate Register,1539203343657
108,,,,,,,0,0,0,This little guy found wandering along roadside block Horseshoe Tr Anyone know belon,1539203346665
109,,,,,,,0,0,0,A conversation re gon na pushing Post Malone Grammy pop category artis,1539203346663
110,RM,방탄소년단,BTSARMY,,,,0,0,0,Fancafe th ARMY ROOM SNOW videos sent LOVE YOURSELF Answer jacket filming RM BTSARMY,1539203346662
